fcltynm,mt10id,mt13cnt,fcltychartr,opende,seatscale,telno,relateurl,adres,la,lo,restaurant,cafe,store,nolibang,suyu,parkbarrier,restbarrier,runwbarrier,elevbarrier,parkinglot,mt13s
2.28기념중앙공원,FC003153,1,기타(비공연장),,0,,,대구광역시 중구 동성로2길 80(공평동),35.869214400000000,128.59718380000000,N,N,N,N,N,N,N,N,N,Y,
2001 아울렛키즈홀 [구로],FC001940,1,민간(대학로 외),2008,100,02-2093-5093,https://2001gurohall.modoo.at/?link=4ky4bxbz,서울특별시 구로구 중앙로1길 36 (고척동),37.498103600000000,126.86266270000000,Y,Y,Y,N,N,Y,N,N,Y,Y,
2001 아울렛키즈홀 [수원남문],FC001548,1,민간(대학로 외),2005,180,031-230-7029,https://www.facebook.com/2001kidshall/?ref=page_internal,경기도 수원시 팔달구 중부대로34번길 15 (인계동),37.274404100000000,127.02115290000006,Y,Y,Y,N,N,Y,N,N,N,Y,
20세기소년,FC002818,1,민간(대학로 외),,0,070-4242-6111,http://choonza.net/summer20/,서울특별시 중구 동호로24길 27-5(장충동2가),37.560433500000000,127.00510670000000,N,N,N,N,N,N,N,N,N,N,
242,FC002391,1,기타(비공연장),,0,010-7917-2888,,서울특별시 용산구 이태원로 242 (한남동) 2층,37.536255300000000,127.00029870000000,N,N,N,N,N,N,N,N,N,N,
2D Hall(이디홀),FC002034,1,민간(대학로 외),,150,064-702-1999,https://2dhall.modoo.at/,제주특별자치도 제주시 도공로 54 (도두일동),33.501877800000000,126.46598550000000,N,N,N,N,N,N,N,N,N,N,
3.15 해양누리공원,FC003555,1,기타(비공연장),,0,,,경상남도 창원시 마산합포구 문화동로 10 (월남동1가),35.185657000000000,128.56456570000000,N,N,N,N,N,N,N,N,N,N,
3.15아트센터,FC000877,3,공공(문예회관),2008,1747,055-719-7800,http://www.cwcf.or.kr/facility/facility_315art.asp,경상남도 창원시 마산회원구 삼호로 135 (양덕동),35.225878100000000,128.57720210000002,N,Y,N,N,N,Y,Y,N,N,Y,
30스튜디오 (폐관),FC001562,1,민간(대학로),2016,65,02-766-9831,https://ko.foursquare.com/v/%EC%97%B0%ED%9D%AC%EB%8B%A8%EA%B1%B0%EB%A6%AC%ED%8C%A8-30%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4/5831382a9465dd787428ca30,서울특별시 종로구 창경궁로27길 27-6 (명륜3가),37.582893800000000,126.99629090000008,N,N,N,N,N,N,N,N,N,N,
346커피스토리,FC003784,1,기타(비공연장),,0,,,강원특별자치도 강릉시 창해로 348 (강문동),37.794488500000000,128.91876150000000,N,N,N,N,N,N,N,N,N,N,
369마실,FC002800,1,기타(비공연장),,0,010-2855-2787,,서울특별시 성북구 삼선교로4가길 13-1 (삼선동1가),37.587021600000000,127.00596220000000,N,N,N,N,N,N,N,N,N,N,
396커피 컴퍼니,FC002231,1,기타(비공연장),2012,200,054-841-0396,https://www.instagram.com/396coffeecompany/,경상북도 안동시 옥동길 32 (옥동),35.009270100000000,127.62107950000000,N,Y,N,N,N,N,N,N,N,Y,
4560designhaus (디자인하우스),FC002801,1,기타(비공연장),,0,010-7412-4560,http://4560dh.com/,서울특별시 서초구 매헌로 16 (양재동),37.462467300000000,127.03694790000000,N,N,N,N,N,N,N,N,N,Y,
5.18기념문화센터,FC000420,2,공공(문예회관),2001,1087,062-376-5197,http://518center.gwangju.go.kr/,광주광역시 서구 내방로 152 (쌍촌동),35.157053100000000,126.85815600000001,N,N,N,N,N,Y,N,N,N,Y,
57th gallery(57갤러리),FC002702,1,기타(비공연장),,0,02-733-2657,http://www.57gallery.co.kr/,서울특별시 종로구 율곡로3길 17 (송현동),37.576422800000000,126.98259260000000,N,N,N,N,N,N,N,N,N,N,
63아트홀,FC000797,1,민간(대학로 외),2009,467,02-789-5663,,서울특별시 영등포구 63로 50 (여의도동),37.519464700000000,126.93983260000005,Y,Y,N,N,N,Y,Y,Y,N,Y,
63컨벤션센터,FC001909,1,민간(대학로 외),2010,2000,02-789-5700,https://www.63convention.co.kr/home/63WEDDING/index.j네,서울특별시 영등포구 63로 50 (여의도동),37.519694000000000,126.94016700000000,Y,Y,N,N,N,N,N,N,N,Y,
640아트타워,FC001547,1,민간(대학로 외),2016,100,010-2262-2387,https://www.640art.com/,서울특별시 강남구 언주로172길 25 (신사동),37.527565900000000,127.03603429999998,N,Y,N,N,N,N,N,N,N,Y,
ACS.KR,FC004104,1,민간(대학로 외),,0,,,서울특별시 중구 수표로6길 10 (충무로3가),37.562729200000000,126.99095750000000,N,N,N,N,N,N,N,N,N,N,
ACT 호텔 스카이 홀,FC003481,1,민간(대학로 외),,0,,,대구광역시 수성구 알파시티1로32길 28-17 (대흥동),35.836477800000000,128.68345420000000,N,N,N,N,N,N,N,N,N,N,
ADM갤러리,FC003217,1,기타(비공연장),,0,,,서울특별시 강남구 역삼로14길 20(역삼동),37.493208700000000,127.03563820000000,N,N,N,N,N,N,N,N,N,N,
AG아트홀 [청주],FC003729,1,민간(대학로 외),,0,,,충청북도 청주시 상당구 사직대로361번길 30 (북문로2가) 신성빌딩5층,36.638262300000000,127.48764270000000,N,N,N,N,N,N,N,N,N,N,
AK플라자 [분당],FC004325,1,기타(비공연장),,0,,https://www.akplaza.com/store/introduce?store=03,경기도 성남시 분당구 황새울로360번길 42 (서현동),37.385102200000000,127.12270310000000,N,N,N,N,N,N,N,N,N,N,
AK플라자 [수원],FC003487,1,민간(대학로 외),,0,,,경기도 수원시 팔달구 덕영대로 924 (매산로1가),37.265676900000000,127.00009610000000,N,N,N,N,N,N,N,N,N,N,
AK플라자 [원주],FC004326,1,기타(비공연장),,0,,https://www.akplaza.com/store/introduce?store=05,강원특별자치도 원주시 봉화로 1 (단계동),37.345730300000000,127.92764960000000,N,N,N,N,N,N,N,N,N,Y,
AK플라자 [평택],FC004327,1,기타(비공연장),,0,,https://www.akplaza.com/store/introduce?store=04,경기도 평택시 평택로 51 (평택동),36.991897500000000,127.08328870000000,N,N,N,N,N,N,N,N,N,Y,
ALVER(알베르),FC002065,1,기타(비공연장),2018,150,02-566-6181,https://www.instagram.com/alver_coffee/,서울특별시 강남구 강남대로102길 34 (역삼동),37.503069800000000,127.02807900000000,N,Y,N,N,N,N,N,N,N,N,
AN아트홀 [서면],FC001244,1,민간(대학로 외),2010,200,,,부산광역시 부산진구 중앙대로692번길 38 (부전동),35.154204200000000,129.06129880000003,Y,Y,N,N,N,N,N,N,N,N,
ASB,FC004640,1,기타(비공연장),,0,,https://www.instagram.com/asb_seoul,서울특별시 용산구 이태원로 174 (이태원동),37.534279000000000,126.99323500000000,N,N,N,N,N,N,N,N,N,N,
ASSA 아트홀,FC003959,1,민간(대학로 외),,0,,,서울특별시 강서구 마곡중앙8로3길 31 (마곡동),37.563790100000000,126.83674230000000,N,N,N,N,N,N,N,N,N,N,
Abnormal필운,FC004557,1,민간(대학로),,50,,,서울특별시 종로구 사직로8길 9-1 (필운동),37.575198000000000,126.97014300000000,N,N,N,N,N,N,N,N,N,N,
Alter Wave,FC003704,1,기타(비공연장),,50,,,경상남도 통영시 광도면 죽림해안로 96,34.882534000000000,128.42288350000000,N,N,N,N,N,N,N,N,N,N,
BHC 27번가 갤러리 [광주],FC004906,1,기타(비공연장),,0,,,광주광역시 동구 중앙로196번길 27 (대의동),35.149091000000000,126.91846100000000,N,N,N,N,N,N,N,N,N,N,
BLACKCUBE LAB(BCL),FC004483,1,기타(비공연장),,0,,,서울특별시 성북구 삼선교로14길 48 (삼선동2가),37.586016000000000,127.01024600000000,N,N,N,N,N,N,N,N,N,N,
BMW JOYSQUARE,FC003021,1,민간(대학로 외),,0,,,인천광역시 중구 공항동로 136(운서동),37.462383100000000,126.48544990000000,N,N,N,N,N,N,N,N,N,N,
BNK부산은행 조은극장,FC001246,3,민간(대학로 외),2009,572,00-1588-2757,http://www.gp-gp.co.kr/,부산광역시 중구 구덕로34번길 4 (남포동2가),35.098300400000000,129.03232530000002,N,N,N,N,N,N,N,Y,Y,N,
BOYS24 HALL(구. 메사고릴라전용관) (폐관),FC000582,1,민간(대학로 외),2000,1220,02-318-8351,,서울특별시 중구 남대문시장10길 2 메사빌딩,37.560378645296100,126.97961839850800,N,N,N,N,N,N,N,N,N,N,
BRST STUDIO,FC003893,1,민간(대학로 외),,0,,,서울특별시 마포구 와우산로18길 30 (서교동),37.551486200000000,126.92408730000000,N,N,N,N,N,N,N,N,N,N,
BUNKER1 (벙커1),FC004857,1,기타(비공연장),,0,,,서울특별시 서대문구 충정로 20 (충정로3가),37.560791000000000,126.96362900000000,N,N,N,N,N,N,N,N,N,N,
Baby Doll (베이비돌),FC004149,1,기타(비공연장),,0,,,서울특별시 서대문구 연세로7안길 26 (창천동),37.558206600000000,126.93538060000000,N,N,N,N,N,N,N,N,N,N,
BeIN(비인),FC003133,1,공공(기타),2022,151,064-735-0677,http://www.be-in.kr/Home/Main,제주특별자치도 제주시 신산로 82(일도이동),33.505485800000000,126.53473960000000,N,N,N,N,N,N,N,N,N,Y,
Bibistudio,FC004067,1,민간(대학로 외),,12,,,서울특별시 은평구 갈현로 250 (갈현동),37.619149800000000,126.91567500000000,N,N,N,N,N,N,N,N,N,N,
Blessing café,FC002665,1,기타(비공연장),,0,,,광주광역시 서구 학생독립로10번길 8 (화정동),35.144018600000000,126.86597380000000,N,N,N,N,N,N,N,N,N,N,
BoB House [성남],FC004912,1,민간(대학로 외),,50,,,경기도 성남시 수정구 청계산로4길 63 (고등동),37.425027000000000,127.10068600000000,N,N,N,N,N,N,N,N,N,N,
CGV [계양],FC003496,8,기타(비공연장),2006,1257,00-1544-1122,http://www.cgv.co.kr/theaters/?areacode=202&theaterCode=0043&date=20200722,인천광역시 계양구 장제로 738 (작전동),37.533727400000000,126.73451500000000,N,N,Y,N,N,N,N,N,N,N,
CGV [광주 터미널],FC004357,1,기타(비공연장),,0,,,광주광역시 서구 무진대로 904 (광천동),35.160575600000000,126.87987310000000,N,N,N,N,N,N,N,N,N,N,
CGV [광주금남로],FC003497,9,기타(비공연장),,955,,,광주광역시 동구 중앙로160번길 16-7 (불로동),35.146821100000000,126.91465030000000,N,N,Y,N,N,N,N,N,N,N,
CGV [대구],FC003498,8,기타(비공연장),2022,1528,,,대구광역시 북구 침산로 93 (칠성동2가),35.885225600000000,128.58978990000000,N,N,N,N,N,N,N,N,N,N,
CGV [대전 터미널],FC004358,1,기타(비공연장),,230,,http://www.cgv.co.kr/theaters/?areacode=03%2C205&theaterCode=0127&date=20140707,대전광역시 동구 동서대로 1689 (용전동),36.350335000000000,127.43671100000000,N,N,N,N,N,N,N,N,N,N,
CGV [대학로],FC003672,8,기타(비공연장),,973,,,서울특별시 종로구 대명길 28 (명륜2가),37.583470300000000,126.99984060000000,N,N,N,N,N,N,N,N,N,N,
CGV [부산],FC004624,10,민간(대학로 외),,1779,,https://cgv.co.kr/cnm/bzplcCgv/P004004,부산광역시 해운대구 센텀남대로 35 (우동),35.168643000000000,129.12907100000000,N,N,N,N,N,N,N,N,N,N,
CGV [압구정],FC002756,1,기타(비공연장),2006,307,00-1544-1122,,서울특별시 강남구 압구정로30길 45 (신사동),37.524350300000000,127.02940320000000,Y,Y,Y,N,N,Y,N,N,Y,Y,
CGV [영등포],FC002776,2,기타(비공연장),,820,00-1544-1122,,서울특별시 영등포구 영중로 15 (영등포동4가),37.517233300000000,126.90371600000000,N,N,N,N,N,N,N,N,N,Y,
CGV [왕십리],FC004359,1,기타(비공연장),,214,,http://www.cgv.co.kr/theaters/?theaterCode=0074,서울특별시 성동구 왕십리광장로 17 (행당동),37.561441800000000,127.03839420000000,N,N,N,N,N,N,N,N,N,N,
CGV [용산],FC003548,20,기타(비공연장),2004,3890,00-1544-1122,http://www.cgv.co.kr/theaters/?page=location&theaterCode=0013,서울특별시 용산구 한강대로23길 55 (한강로3가),37.529771800000000,126.96474150000000,Y,Y,Y,N,N,N,N,N,N,N,
CGV [인천],FC004360,2,기타(비공연장),,490,,http://www.cgv.co.kr/theaters/?theaterCode=0002,인천광역시 남동구 예술로 198 (구월동),37.451735300000000,126.70194850000000,N,N,N,N,N,N,N,N,N,N,
CGV [피카디리 1958],FC004362,1,기타(비공연장),,0,,,서울특별시 종로구 돈화문로5가길 1 (돈의동),37.571027500000000,126.99123030000000,N,N,N,N,N,N,N,N,N,N,
CGV 대구한일,FC004892,1,기타(비공연장),,99,,https://cgv.co.kr/cnm/bzplcCgv/0147001,대구광역시 중구 동성로 39 (동성로2가),35.870634000000000,128.59528900000000,N,N,N,N,N,N,N,N,N,N,
CGV 대전,FC003499,9,기타(비공연장),2001,1880,,,대전광역시 중구 계백로 1700 (문화동),36.320630700000000,127.40879910000000,Y,Y,N,N,N,N,N,N,N,N,
CGV 서면,FC003295,1,기타(비공연장),,0,,,부산광역시 부산진구 동천로 4(전포동),35.149436200000000,129.06397560000000,N,N,N,N,N,N,N,N,N,N,
CGV 울산삼산,FC003500,11,기타(비공연장),2013,2487,00-1544-1122,,울산광역시 남구 화합로 185 (삼산동),35.541345700000000,129.33889970000000,N,N,Y,N,N,N,N,N,N,N,
CGV 원주,FC003501,10,기타(비공연장),,1947,,,강원특별자치도 원주시 서원대로 171 (단계동),37.345104900000000,127.93074840000000,N,N,Y,N,N,N,N,N,N,N,
CGV신한카드아트홀,FC000343,1,민간(대학로 외),2009,387,02-2068-7886,,서울특별시 영등포구 영중로 15 (영등포동4가),37.517163900000000,126.90317579999999,Y,Y,Y,Y,Y,Y,N,N,N,Y,
CJB미디어센터,FC001338,1,민간(대학로 외),2014,1286,043-279-3845,http://www.cjbmediacenter.co.kr,충청북도 청주시 서원구 1순환로 854,36.619969300000000,127.46791750000000,Y,Y,N,N,N,N,Y,N,Y,Y,
CJ아지트 광흥창,FC000082,1,민간(대학로 외),2009,250,02-3272-2616,https://www.cjazit.org/cjazit/1st,서울특별시 마포구 창전로 14 (신정동) CJ아지트,37.544231100000000,126.93044699999996,N,N,N,N,N,N,Y,N,N,N,
CK아트홀,FC000629,1,민간(대학로 외),2009,188,00-1899-2330,http://www.ckarthall.com/default/,울산광역시 남구 삼산로 173 (달동),35.537397899999990,129.32611280000003,Y,N,N,N,N,N,N,N,N,Y,
CLUB PLUS82(+82),FC004840,1,민간(대학로 외),,50,,,서울특별시 강남구 도산대로 539 (청담동),37.525154000000000,127.05255000000000,N,N,N,N,N,N,N,N,N,N,
CLUB VICTIM,FC003903,1,민간(대학로 외),,0,02-322-8487,,서울특별시 마포구 와우산로 53 (상수동),37.549254300000000,126.92286720000000,N,N,N,N,N,N,N,N,N,N,
CLUB bender(클럽 벤더),FC002090,1,민간(대학로 외),,0,02-6406-5646,,서울특별시 마포구 와우산로14길 4 (상수동) 지하1층,37.550051700000000,126.92335100000000,N,N,N,N,N,N,N,N,N,N,
CS아트홀,FC002104,1,민간(대학로 외),2009,30,041-355-9495,http://csmusical.com/,충청남도 아산시 시민로 366 (온천동),36.781341500000000,127.00014340000000,N,N,N,N,N,N,N,N,N,Y,
CTS아트홀,FC001472,1,민간(대학로 외),2005,404,02-6333-1071,http://rent.ctsart.co.kr/,서울특별시 동작구 노량진로 100 (노량진동),37.512925500000000,126.93698640000002,N,N,N,N,N,Y,Y,N,N,Y,
Cafe PPnF,FC002066,1,기타(비공연장),2018,30,02-747-6909,https://blog.naver.com/hcmp2352/221412956003,서울특별시 종로구 성균관로 87 (명륜1가),37.589979900000000,126.99829260000000,N,Y,N,N,N,N,N,N,N,N,
Cafe vave(베이브),FC002347,1,기타(비공연장),,0,02-6404-3737,https://www.instagram.com/cafe_vave/,서울특별시 마포구 월드컵북로4길 29 (동교동),37.557672600000000,126.92105250000000,N,Y,N,N,N,N,N,N,N,N,
Campus D 고촌홀,FC003340,1,민간(대학로 외),1995,200,051-520-9000,https://www.drb-campusd.com/campusd,부산광역시 금정구 공단동로55번길 28(금사동),35.224024100000000,129.11594170000000,N,N,N,N,N,N,N,N,N,N,
Converse Stage Arena 여명,FC004676,1,기타(비공연장),,0,,,서울특별시 동작구 현충로 213 (동작동),37.503828000000000,126.97799000000000,N,N,N,N,N,N,N,N,N,N,
Corners Studio,FC003781,1,민간(대학로 외),,0,,,대전광역시 동구 계족로 211 (신안동),36.331804500000000,127.44007770000000,N,N,N,N,N,N,N,N,N,N,
D:BASE (디:베이스),FC002014,1,민간(대학로),2015,212,02-745-7775,,서울특별시 종로구 대학로10길 26 (동숭동),37.581607800000000,127.00372240000000,N,N,N,N,N,N,N,N,N,N,
DCAN센터,FC003563,1,민간(대학로 외),,0,010-4427-2209,https://litt.ly/dcan,대전광역시 동구 중앙로200번길 99 (원동),36.326729900000000,127.43395840000000,N,N,N,N,N,N,N,N,N,N,
DCAN센터 [대전],FC002917,1,민간(대학로 외),2021,0,,,대전광역시 동구 대전로779번길 18(원동),36.329111700000000,127.43271610000000,N,N,N,N,N,N,N,N,N,N,
DCT바(DCT Bar) [수원],FC004887,1,기타(비공연장),,0,,https://www.instagram.com/haru9286,경기도 수원시 장안구 화산로233번길 17 (율전동),37.298981000000000,126.97083700000000,N,N,N,N,N,N,N,N,N,N,
DDP 동대문디자인플라자,FC002666,3,기타(비공연장),2014,0,02-2153-0000,http://www.ddp.or.kr/main,서울특별시 중구 을지로 281 (을지로7가),37.568014200000000,127.01090910000000,N,N,N,N,N,N,N,N,N,Y,
DDP 패션몰,FC004261,1,기타(비공연장),,200,02-2290-6059,https://www.sisul.or.kr/open_content/ddpfm/,서울특별시 중구 마장로 22 (신당동),37.567302000000000,127.01212790000000,N,N,Y,N,N,N,N,N,N,Y,
DGT 아트센터,FC003882,1,민간(대학로 외),,60,,,서울특별시 마포구 독막로 308 (염리동),37.543645800000000,126.94689330000000,N,N,N,N,N,N,N,N,N,N,
DMZ 박물관 [고성],FC002723,2,공공(기타),2009,0,033-681-0625,http://www.dmzmuseum.com,강원도 고성군 현내면 통일전망대로 369,38.576246900000000,128.38252780000000,N,Y,N,N,Y,Y,Y,Y,Y,Y,
DOT [수원],FC004418,1,민간(대학로 외),,0,,https://www.instagram.com/d.o.t_kr,경기도 수원시 팔달구 화서문로 34-1 (신풍동),37.284978000000000,127.01184000000000,N,N,N,N,N,N,N,N,N,N,
DS ART HALL(창선당),FC002003,1,민간(대학로 외),2014,137,02-2262-0144,http://www.changseondang.com,서울특별시 종로구 청계천로 279 (종로6가),37.570395500000000,127.00891080000000,Y,Y,N,N,N,Y,Y,Y,N,Y,
DSM 아트홀,FC003694,1,민간(대학로 외),,0,02-3452-7785,,서울특별시 마포구 독막로3길 45 (서교동),37.550299400000000,126.91758930000000,N,N,N,N,N,N,N,N,N,N,
EBS 스페이스홀,FC004680,1,민간(대학로 외),,0,,https://www.ebs.co.kr/space/main,경기도 고양시 일산동구 한류월드로 281 (장항동),37.661706000000000,126.75463100000000,N,N,N,N,N,N,N,N,N,N,
Emo LAB,FC004530,1,민간(대학로 외),,0,,,서울특별시 서초구 효령로 200 (서초동),37.482802000000000,127.00605900000000,N,N,N,N,N,N,N,N,N,N,
F1963,FC001784,3,공공(기타),2016,620,051-756-1963,http://www.f1963.org/ko/,부산광역시 수영구 구락로123번길 20 (망미동),35.177202000000000,129.11496600000000,Y,Y,N,N,N,Y,N,N,N,Y,
FENICE SACAY (오사카),FC004858,1,기타(해외등),,0,,,,0,0,N,N,N,N,N,N,N,N,N,N,
G#하우스,FC003455,1,민간(대학로 외),,0,,,인천광역시 연수구 벚꽃로 96 (청학동),37.418077300000000,126.67660400000000,N,N,N,N,N,N,N,N,N,N,
GAG Space,FC004390,2,민간(대학로 외),,0,,https://www.instagram.com/gag_space/,서울특별시 용산구 이태원로 192 (이태원동),37.534356600000000,126.99536060000000,N,N,N,N,N,N,N,N,N,N,
GBB스페이스홀 (구. 임혁필소극장),FC001405,1,민간(대학로 외),2012,100,02-541-0772,,서울특별시 마포구 포은로 14 (합정동),37.549380700000000,126.90933889999997,N,N,N,N,N,N,N,N,N,N,
GB가빈아트홀,FC001832,1,민간(대학로 외),2025,329,02-1544-0609,https://gabin-arthall.com,서울특별시 강남구 삼성로 534 (삼성동),37.509677700000000,127.05553630000000,N,N,N,N,N,Y,N,N,N,Y,
GB성암아트홀,FC001444,1,민간(대학로 외),2023,187,02-543-0826,http://www.saart.co/kr/main.php,서울특별시 강남구 선릉로111길 6 (논현동),37.511025200000000,127.04299979999996,N,N,N,N,N,Y,N,N,N,N,
GET SPACE(겟 스페이스),FC002455,1,민간(대학로 외),2014,150,053-626-9585,https://cafe.naver.com/getspace,대구광역시 남구 현충로 233 (대명3동),35.853429100000000,128.58279940000000,N,N,N,N,N,N,N,N,N,N,
GLION ARENA KOBE(지라이온 아레나 고베) [일본 효고],FC004513,1,기타(해외등),,0,,https://www.totteikobe.jp/,,0,0,N,N,N,N,N,N,N,N,N,N,
GS아트센터,FC004267,1,민간(대학로 외),2025,1211,02-2005-0101,https://www.gsartscenter.com/,서울특별시 강남구 논현로 508 (역삼동),37.501994900000000,127.03733640000000,N,Y,Y,N,N,Y,Y,Y,Y,Y,
GS칼텍스 예울마루,FC000826,3,공공(문예회관),2012,1323,00-1544-7669,https://www.yeulmaru.org/,전라남도 여수시 예울마루로 100 (시전동),34.749809500000000,127.66498990000002,N,Y,N,N,Y,Y,Y,Y,Y,Y,
Gillian Lynne Theatre [영국],FC004502,1,기타(해외등),,0,,https://lwtheatres.co.uk/theatres/gillian-lynne/,,0,0,N,N,N,N,N,N,N,N,N,N,
G스페이스홀 (지스페이스홀),FC002693,1,민간(대학로 외),2020,73,02-421-9025,,서울특별시 마포구 포은로 14 (합정동),37.549427400000000,126.90935770000000,N,N,N,N,N,N,N,N,N,Y,
H-스테이지,FC003003,1,민간(대학로 외),,100,,,서울특별시 마포구 와우산로 97(서교동),37.553094000000000,126.92435350000000,N,N,N,N,N,N,N,N,N,N,
HANDIN space(핸딘스페이스),FC002302,1,기타(비공연장),,150,031-704-2550,https://blog.naver.com/handins,경기도 성남시 분당구 수내로46번길 33 (수내동),37.378709400000000,127.11512470000000,Y,N,N,N,N,Y,N,N,N,Y,
HD아트센터(구 현대예술관),FC001166,2,민간(대학로 외),1998,1180,00-1522-3331,http://www.hhiarts.co.kr/main.jsp,울산광역시 동구 명덕로 10 (서부동),35.522951100000000,129.43097269999998,Y,Y,N,Y,Y,Y,Y,N,Y,Y,
HMF아트홀,FC003629,1,민간(대학로 외),,50,,,부산광역시 해운대구 좌동순환로 308 (좌동),35.168676600000000,129.18256230000000,N,N,N,N,N,N,N,N,N,N,
HOLE SEOUL(홀 서울),FC003575,1,기타(비공연장),,0,02-1412-2065,,서울특별시 강남구 선릉로161길 20 (신사동),37.527530800000000,127.03883110000000,N,N,N,N,N,N,N,N,N,N,
Hertz (구.이태원 웨어하우스 베뉴),FC004313,1,기타(비공연장),,0,,,서울특별시 용산구 우사단로14길 21 (이태원동),37.534389200000000,126.99683720000000,N,N,N,N,N,N,N,N,N,N,
IAM센터,FC003192,1,기타(비공연장),2021,0,070-8801-1520,,경기도 수원시 영통구 월드컵로 76(원천동),37.274364300000000,127.05571420000000,Y,Y,N,N,N,Y,Y,Y,Y,Y,
ICC제주국제컨벤션센터,FC001981,4,공공(기타),2003,9650,064-735-1000,http://www.iccjeju.co.kr/,제주특별자치도 서귀포시 중문관광로 224 (중문동) 5층,33.241289700000000,126.42444290000000,Y,Y,Y,N,N,Y,Y,Y,Y,Y,
IFC몰(서울국제금융센터),FC004737,1,기타(비공연장),,0,,https://www.ifcmallseoul.com/kr/visit/floor,서울특별시 영등포구 국제금융로 10 (여의도동),37.525692000000000,126.92558100000000,N,N,N,N,N,N,N,N,N,N,
IGC 글로벌캠퍼스,FC001938,1,공공(기타),2012,389,032-626-0590,http://www.igc.or.kr/vr/index.html?startscene=scene_0210,인천광역시 연수구 송도문화로 119 (송도동),37.374928200000000,126.66848750000000,N,N,N,N,N,Y,Y,N,N,Y,
IM CINEMA (아이엠시네마),FC003545,1,민간(대학로 외),,170,,http://www.imcinema.co.kr/,경기도 성남시 분당구 수내로46번길 33 (수내동),37.378713800000000,127.11513880000000,N,N,N,N,N,N,N,N,N,N,
IMCL MUSIC STUDIO,FC003198,1,민간(대학로 외),2022,0,070-4216-7563,https://www.internationalmusiccl.com/,서울특별시 강서구 공항대로42길 23-3(내발산동),37.556753600000000,126.84376120000000,N,N,N,N,N,N,N,N,N,Y,
IPAC홀 (인터내셔널퍼포밍아트센터),FC002750,1,민간(대학로 외),2017,50,010-7207-2016,https://ipac.or.kr/,서울특별시 서초구 서초중앙로 56 (서초동),37.486899500000000,127.01545940000000,N,N,N,N,N,N,N,N,N,N,
ISC프라자 [창원],FC003253,1,민간(대학로 외),,0,,,경상남도 창원시 마산회원구 내서읍 광려천서로 81,35.249031200000000,128.51068100000000,N,N,N,N,N,N,N,N,N,N,
